Code,Name,Sales Price,Actual Quantity,Free Stock Quantity,Standard Cost,Manufacturer,Quantity on POP Order,Inactive Date
SPIGIN01A,Chef's Selection Ground Ginger 450gm,5.05000,0.00000,0.00000,3.05830,HUN001,0.00000,21/02/2025
SPIGIN02,Chef William Ground Ginger 400gm,4.55000,0.00000,0.00000,2.74666,SLE001,6.00000,
SPIJER001,Old India Jerk Seasoning 500gm,5.15000,2.00000,2.00000,3.55000,FGS001,0.00000,
SPIJUN01,Old India Juniper Berries 350gm,6.55000,0.00000,0.00000,4.52000,FGS001,0.00000,
SPIMIX01,Triple Lion Mixed Spice 450gm,5.75000,14.00000,14.00000,2.67166,SPL001,0.00000,
SPIMIX02,Chef William Mixed Spice 450gm,5.75000,0.00000,0.00000,2.89500,SLE001,0.00000,15/08/2025
SPIMUS01,Old India Yellow Mustard Seeds 500gm,2.35000,3.00000,3.00000,1.61000,FGS001,0.00000,
SPIMUS02,Old India Brown Mustard Seeds 500gm - Clearance,1.67368,5.00000,5.00000,1.59000,FGS001,0.00000,
SPINUT01,Triple Lion Ground Nutmeg 500gm,16.15000,0.00000,0.00000,7.87833,SPL001,0.00000,06/03/2025
SPINUT02,Old India Whole Nutmeg 650gm,12.15000,1.00000,1.00000,8.37000,FGS001,0.00000,
SPINUT03,Chef William Ground Nutmeg 450gm,14.55000,0.00000,0.00000,4.37833,SLE001,6.00000,
SPiPA03,EL Avion Vintage Smoked Mild Paprika 75gm,2.55000,9.00000,9.00000,1.62400,EMP001,0.00000,
SPIPAP01,Triple Lion Smoked Paprika 550gm,6.55000,13.00000,13.00000,3.49666,SPL001,24.00000,
SPIPAP02,Triple Lion Paprika 550gm,4.45000,6.00000,6.00000,2.65333,SPL001,0.00000,
SPIPAP02A,Chef's Selection Paprika 550gm,4.45000,0.00000,0.00000,3.00666,HUN001,0.00000,11/03/2025
SPIPAP04,EL Avion Vintage Smoked Hot Paprika 75gm,2.55000,0.00000,0.00000,1.62400,EMP001,10.00000,
SPIPIR01,Old India Piri Piri Seasoning 500gm,4.75000,9.00000,9.00000,3.25000,FGS001,0.00000,
SPIRAS01,Old India Ras El Hanout 500gm,7.15000,3.00000,3.00000,4.92000,FGS001,0.00000,
SPISHA01,Old India Shawarma Spice Blend 500gm,5.95000,0.00000,0.00000,4.10000,FGS001,0.00000,
SPISRI01,Old India Sriracha Seasoning 500gm,5.00000,11.00000,11.00000,3.45000,FGS001,0.00000,
SPISTA01,Triple Lion Star Anise 130gm,6.05000,22.00000,22.00000,2.61000,SPL001,0.00000,
SPISUM01,Old India Ground Sumac 500gm,6.60000,13.00000,13.00000,4.55000,FGS001,0.00000,
SPITAN01,Triple Lion Tandoori Masala 1kg,7.95000,1.00000,1.00000,5.32333,SPL001,6.00000,
SPITAN02,Khanum Tandoori Masala 1kg,7.65000,0.00000,0.00000,3.42500,SOP001,0.00000,19/11/2025
SPITHA001,Old India Thai Seven Spice 500gm,6.95000,9.00000,9.00000,3.39900,FGS001,0.00000,
SPITUR001,Triple Lion Ground Turmeric 500gm,4.50000,0.00000,0.00000,2.19000,SPL001,0.00000,19/01/2024
SPITUR002,Triple Lion Ground Turmeric 550gm,4.95000,0.00000,0.00000,2.83300,SPL001,0.00000,25/08/2025
SPITUR003,Chef William Ground Turmeric 500gm,4.50000,18.00000,18.00000,2.26833,SLE001,0.00000,
