(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions – Total,Sessions – Total – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B
B0CWLM5T7R,B0CWLM5T7R,Elsinore Lumpfish Caviar 100gm (Pack of 6),ELSIN001 - 005 Prime,2,0,0.21%,0.00%,2,0,0.16%,0.00%,100.00%,0.00%,1,0,50.00%,0.00%,£34.99,£0.00,1,0
B0CX98F88X,B0CX98F88X,Wrapmaster 4500 Baking Parchment Refill 3 x 50 metres (2 Boxes of 3 Rolls),WRA06 - 006 Prime,1,1,0.11%,2.17%,1,1,0.08%,1.54%,100.00%,100.00%,1,1,100.00%,100.00%,£65.83,£65.83,1,1
B0CYPZMDR4,B0CYPZMDR4,Parkers ELSINORE - Lumpfish Caviar - 100gm (Pack of 3),ELSIN001 - 006 Prime,6,0,0.64%,0.00%,8,0,0.64%,0.00%,100.00%,0.00%,1,0,16.67%,0.00%,£20.99,£0.00,1,0
B0D184G3RW,B0D184G3RW,Parkers CORE - Salt Sachets - 1 x 2000,CORESA009 - 001 Prime,1,0,0.11%,0.00%,1,0,0.08%,0.00%,100.00%,0.00%,1,1,100.00%,0.00%,£10.89,£10.89,1,1
B0D1CND51R,B0D1CND51R,Parkers Jacob's - Mini Cheddars RED LEICESTER Flavour Crisps - 30 x 45g,BAR29 - 001 Prime,5,0,0.53%,0.00%,6,0,0.48%,0.00%,100.00%,0.00%,1,0,20.00%,0.00%,£20.29,£0.00,1,0
B0D2387Z3L,B0D232WH9Z,Parkers CORE - Tuna Chunks Brine - 1.705kg (1 Tin),TUN04A - 001 Prime,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0.00%,0.00%,1,0,0.00%,0.00%,£15.51,£0.00,1,0
B0D2P77RYV,B0D2P6CZX2,Dawn - BANANA Compound - 1kg,COMPOU004 - 001 Prime,1,1,0.11%,2.17%,1,1,0.08%,1.54%,100.00%,100.00%,1,1,100.00%,100.00%,£37.57,£37.57,1,1
B0D2PCPCL2,B0D2PBJ2W1,Parkers Dawn - PLAIN Muffin Mix - 3.5kg,DAWN3.5 - 001 Prime,2,1,0.21%,2.17%,8,6,0.64%,9.23%,100.00%,0.00%,1,0,50.00%,0.00%,£21.39,£0.00,1,0
B0D33QPMJH,B0D33QPMJH,"Menz & Gasser - Jam Portions (Plastic) (100 x 20gm, Assorted)",JAM03B - 005 Prime,3,0,0.32%,0.00%,3,0,0.24%,0.00%,100.00%,0.00%,1,0,33.33%,0.00%,£15.92,£0.00,1,0
B0D45VBX54,B0D45NC69B,Drink Me - Chai ARTISAN Blend Chai Latte - 1kg (4),HOT08 - 004 Prime,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0.00%,0.00%,1,0,0.00%,0.00%,£69.05,£0.00,1,0
B0D45NPK7W,B0D45NPK7W,Fresher's Bundle - ORANGE & BLACKCURRANT Drink - 2 X 5ltr (No Added Sugar),Bundle - 124 Prime,1,0,0.11%,0.00%,1,0,0.08%,0.00%,100.00%,0.00%,1,0,100.00%,0.00%,£19.70,£0.00,1,0
B0D5D7ZHMC,B0D5DCC2RZ,"Firefly (12 x 330ml, KIWI, LIME & MINT)",FIREF003 - 002 Prime,3,0,0.32%,0.00%,4,0,0.32%,0.00%,100.00%,0.00%,1,0,33.33%,0.00%,£23.25,£0.00,1,0
B0D6WL5F3Q,B0D6WL5F3Q,Chef William - TEMPURA Batter Mix - 1kg - (Pack of 10),BRE04B - 002 Prime,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0.00%,0.00%,1,0,0.00%,0.00%,£32.58,£0.00,1,0
B0D92QMD5V,B0D92QMD5V,"Jersey Ice Cream Mix 1ltr (12, Luxury)",UHT31B - 004 Prime,1,0,0.11%,0.00%,1,0,0.08%,0.00%,100.00%,0.00%,1,0,100.00%,0.00%,£53.84,£0.00,1,0
B0D96N8KBS,B0D96PFNLK,"OTT - Dessert Topping Sauce - 500gm (6, Strawberry)",MAC02A - 001 Prime,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0.00%,0.00%,1,1,0.00%,0.00%,£20.80,£20.80,1,1
