id,createdAt,updatedAt,parentSKU,parentTitle,childSKU,childTitle,quantity
cmcnb9frs012ao23fbhn71z2k,1751542636279,1751542636279,"SPICUR01A - 002 Prime","Triple Lion - MILD CURRY POWDER - 500g",SPICUR01A,"Triple Lion - MILD CURRY POWDER - 500g",1
cmcnb9frs012bo23fwmp3nx51,1751542636279,1751542636279,"CAN03 - 001","Orange Fanta - Can - (24 x 330ml)",CAN03,"Orange Fanta - Can - (24 x 330ml)",1
cmcnb9frs012co23fqz4ehy11,1751542636279,1751542636279,"BAK01 - 010 Prime","Fermipan - Instant DRIED Yeast - 500g",BAK01,"Fermipan - Instant DRIED Yeast - 500g",1
cmcnb9frs012do23f389at9dd,1751542636279,1751542636279,"DORSET001 - 001","Dorset Cereals - Simply DELICIOUS MUESLI - 18 x 85g",DORSET001,"Dorset Cereals - Simply DELICIOUS MUESLI - 18 x 85g",1
cmcnb9frs012eo23fy87emva9,1751542636279,1751542636279,"POR02 - 902","Shoulder of Pork Boned and Rolled - 6kg Piece - Shoulder of Pork Boned and Rolled",POR02,"Shoulder of Pork Boned and Rolled - 3kg Piece - Shoulder of Pork Boned and Rolled",6
cmcnb9frs012fo23fyrv73lp4,1751542636279,1751542636279,"CAMBR011 - 003 Prime","Cambrook - TRUFFLE & PECORINO Nut Mix - 1kg - (Pack of 3)",CAMBR011,"Cambrook - TRUFFLE & PECORINO Nut Mix - 1kg",3
cmcnb9frs012go23fi6123y0d,1751542636279,1751542636279,"MONINT02 - 004","Monin - Caramel Sauce - 500ml - (Pack of 3)",MONINT02,"Monin - Caramel Sauce - 500ml",3
cmcnb9frs012ho23f6nti9x4r,1751542636279,1751542636279,"ORI12 - 101","KTC - Creamed COCONUT BLOCK - 200g",ORI12,"KTC - Creamed COCONUT BLOCK - 200g",1
cmcnb9frs012io23fn3dknghm,1751542636279,1751542636279,"BRE03BA - 002","Centaur - Panko Breadcrumbs - 1kg",BRE03BA,"Centaur - Panko Breadcrumbs - 1kg",1
cmcnb9frs012jo23fqs6juesy,1751542636279,1751542636279,"DES23 - 001 Prime","Angel Delight - BUTTERSCOTCH - 600g",DES23,"Angel Delight - BUTTERSCOTCH - 600g",1
cmcnb9frs012ko23fw2jwy2yo,1751542636279,1751542636279,"CRUSHA003 - 102","Crusha - STRAWBERRY Milkshake Syrup - 1ltr - (Pack of 12)",CRUSHA003,"Crusha - STRAWBERRY Milkshake Syrup - 1ltr",12
cmcnb9frs012lo23f76kckuyq,1751542636279,1751542636279,"LEN04A - 101","Epicure - Organic Bijoux Verts (Green) Lentils - 400g",LEN04A,"Epicure - Organic Bijoux Verts (Green) Lentils - 400g",1
cmcnb9frs012mo23fuviqffai,1751542636279,1751542636279,"BEA20C - 101","Riverdene - Black Eyed Bean - 800g",BEA20C,"Riverdene - Black Eyed Bean - 800gm",1
cmcnb9frs012no23f9a0cs3r4,1751542636279,1751542636279,"LIO07 - 009 Prime","Lion - HORSERADISH Sauce - 2.27ltr - (Pack of 2)",LIO07,"Lion - HORSERADISH Sauce - 2.27ltr",2
cmcnb9frs012oo23frnec5ffn,1751542636279,1751542636279,"ORI23 - 006","Mae Ploy - MASAMAN Curry Paste - 400g",ORI23,"Mae Ploy - MASAMAN Curry Paste - 400g",1
cmcnb9frs012po23f3qu0b6c1,1751542636279,1751542636279,"CUP24B - 001","Edenware - Double Wall Coffee Cup - 500 x 8oz",CUP24B,"Edenware - Double Wall Coffee Cup - 500 x 8oz",1
cmcnb9frs012qo23fyomaw4nq,1751542636279,1751542636279,"SUE03 - 001","Atora - VEGETABLE SUET - 200g - (Pack of 2)",SUE03,"Atora - VEGETABLE SUET - 200g",2
cmcnb9frs012ro23f1cme9u0z,1751542636279,1751542636279,"LIO15 - 001 Prime","Lion - THAI SWEET CHILLI Sauce - 2.27ltr",LIO15,"Lion - THAI SWEET CHILLI Sauce - 2.27ltr",1
cmcnb9frs012so23feo4p4jhh,1751542636279,1751542636279,"DAWN3.5 - 002 Prime","Dawn - PLAIN Muffin Mix - 3.5kg (Pack of 4)",DAWN3.5,"Dawn - PLAIN Muffin Mix - 3.5kg",4
cmcnb9frs012to23fa55kfpvj,1751542636279,1751542636279,"ORI18 - 102","SQUID BRAND - Fish Sauce (Plastic) - 700ml - (Pack of 6)",ORI18,"SQUID BRAND - Fish Sauce (Plastic) - 700ml",6
cmcnb9frs012uo23fecpy4gen,1751542636279,1751542636279,"CLE05 - 006","Method Grapefruit Multi Purpose Spray 828ml - (Pack of 4)",CLE05,"Method Grapefruit Multi Purpose Spray 828ml",4
cmcnb9frs012vo23ftozr3mya,1751542636279,1751542636279,"FOL07 - 001 Prime","Folkington's - PINEAPPLE Juice - 12 x 250ml",FOL07,"Folkington's - PINEAPPLE Juice - 12 x 250ml",1
cmcnb9frs012wo23fedlkw3tv,1751542636279,1751542636279,"CRI50 - 005","Pom Bear - Original Crisps - 36 x 19g",CRI50,"Pom Bear - Original Crisps - 36 x 19g",1
cmcnb9frs012xo23ft4dn6y6u,1751542636279,1751542636279,"BAK22A - 001 Prime","Biona - Organic Squeezy Blackstrap Molasses - 350g",BAK22A,"Biona - Organic Squeezy Blackstrap Molasses - 350g",1
cmcnb9frs012yo23fhwlp3g14,1751542636279,1751542636279,"DES03 - 006","Callebaut - MILK Chocolate MOUSSE Mix - 800g",DES03,"Callebaut - MILK Chocolate MOUSSE mix - 800g",1
cmcnb9frs012zo23fdq50dps6,1751542636279,1751542636279,"WRA06 - 006 Prime","Wrapmaster 4500 Baking Parchment Refill 3 x 50 metres (2 Boxes of 3 Rolls)",WRA06,"Wrapmaster 4500 Baking Parchment Refill 3 x 50 metres",2
cmcnb9frs0130o23f7wi1kd6d,1751542636279,1751542636279,"POU24C - 001","Mr Muscle - Platinum KITCHEN Spray Citrus - 750ml",POU24C,"Mr Muscle - Platinum KITCHEN Spray Citrus - 750ml",1
cmcnb9frs0131o23fskxewabt,1751542636279,1751542636279,"RIC26 - 001 Prime","Triple Lion - EASY COOK WHOLEGRAIN Rice - 5kg",RIC26,"Triple Lion - EASY COOK WHOLEGRAIN Rice - 5kg",1
cmcnb9frs0132o23fmidro738,1751542636279,1751542636279,"CLE01GB - 001 Prime","Fairy - Original Washing Up Liquid - 320ml (Pack of 10)",CLE01GB,"Fairy - Original Washing Up Liquid - 320ml",10
cmcnb9frs0133o23fqozkxovc,1751542636279,1751542636279,"MIL06D - 015 Prime","Biona - Organic Coconut MILK - 400ml",MIL06D,"Biona - Organic Coconut MILK - 400ml",1
cmcnb9frs0134o23fxz5wex9y,1751542636279,1751542636279,"CLE07C - 003","Suma Grill - D9 Oven & Grill Cleaner - (6 x 750ml)",SUMACL001,"Diversey Suma D9 Oven & Grill Cleaner 750ml",6
cmcnb9frs0135o23fxd7i5791,1751542636279,1751542636279,"ORI08C - 001","Lee Kum Kee - OYSTER Sauce - 2.31kg",ORI08C,"Lee Kum Kee - OYSTER Sauce - 2.31kg",1
cmcnb9frs0136o23frh86mcza,1751542636279,1751542636279,"CAMBR008 - 002 Prime","Cambrook - Hickory SMOKED ALMONDS - 1kg",CAMBR008,"Cambrook - Hickory SMOKED ALMONDS - 1kg",1
cmcnb9frs0137o23fa82zqhi3,1751542636279,1751542636279,"VEG12J - 102","Mezzetta - Sliced JALAPENO - 425g - (Pack of 6)",VEG12J,"Mezzetta - Sliced JALAPENO - 425g",6
cmcnb9frs0138o23fb0h9k3u2,1751542636279,1751542636279,"RUMMO011 - 005","Rummo - No.66 - GLUTEN FREE - PENNE - (Blue) - 400g - (Pack of 2)",RUMMO011,"Rummo - No.66 - GLUTEN FREE - PENNE - (Blue) - 400g",2
cmcnb9frs0139o23fvp5yvt0p,1751542636279,1751542636279,"COR50 - 002 Prime","Bottlegreen - Elderflower Cordial - 500ml",COR50,"Bottlegreen - Elderflower Cordial - 500ml",1
cmcnb9frs013ao23flw01nau5,1751542636279,1751542636279,"VEG12J - 101","Mezzetta - Sliced JALAPENO - 425g",VEG12J,"Mezzetta - Sliced JALAPENO - 425g",1
cmcnb9frs013bo23fpvytoz89,1751542636279,1751542636279,"HERMIN002 - 002 Prime","Chef William - Dried MINT - 120g",HERMIN002,"Chef William - Dried MINT - 120g",1
cmcnb9frs013co23f1nh07t3x,1751542636279,1751542636279,"VIN31A - 102","KTC - WHITE Vinegar - 5ltr - (Pack of 2)",VIN31A,"KTC - WHITE Vinegar - 5ltr",2
cmcnb9frs013do23fy6x8hlnv,1751542636279,1751542636279,"Belazu Oil Bundle - 002","Belazu Oil Bundle (WHITE, BLACK, LEMON, CHILLI, BASIL) 5 x 250ml",TRU10B,"Belazu - WHITE Truffle Oil - 250ml",1
cmcnb9frs013eo23findl9uva,1751542636279,1751542636279,"Belazu Oil Bundle - 002","Belazu Oil Bundle (WHITE, BLACK, LEMON, CHILLI, BASIL) 5 x 250ml",TRU10C,"Belazu - BLACK Truffle Oil - 250ml",1
cmcnb9frs013fo23fmstq8hch,1751542636279,1751542636279,"Belazu Oil Bundle - 002","Belazu Oil Bundle (WHITE, BLACK, LEMON, CHILLI, BASIL) 5 x 250ml",INF11B,"Belazu - LEMON Infused Oil - 250ml",1
