(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions – Total,Sessions – Total – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B
B08T8SXRSF,B08T8SXRSF,Bull-Dog Vegetable Fruit Sauce (Tonkatsu Sauce) 500ml (Pack of 3),ORI85 - 003,49,3,0.03%,0.06%,59,4,0.03%,0.06%,13.21%,0.00%,1,0,2.04%,0.00%,£17.96,£0.00,1,0
B08TMH223P,B08TMH223P,Sandwich Gherkins 2.9KG,GHE04A,4,0,0.00%,0.00%,10,0,0.00%,0.00%,71.43%,0.00%,1,0,25.00%,0.00%,£10.93,£0.00,1,0
B08W2G1KG7,B08W2G1KG7,French White Wine Tarragon Vinegar 75cl - Centaur,VIN21,11,0,0.01%,0.00%,16,0,0.01%,0.00%,100.00%,0.00%,1,0,9.09%,0.00%,£9.29,£0.00,1,0
B08W2GKPBD,B08W2GKPBD,Raspberry Vinegar 750ml,VIN13A Prime,51,0,0.03%,0.00%,67,0,0.03%,0.00%,93.55%,0.00%,1,0,1.96%,0.00%,£11.49,£0.00,1,0
B08X1478HZ,B08X1478HZ,Batchelors Cheese Sauce Large 1600g,DEH05 - 003 Prime,4,0,0.00%,0.00%,5,0,0.00%,0.00%,100.00%,0.00%,1,0,25.00%,0.00%,£31.82,£0.00,1,0
B091G5YB39,B091G5YB39,Caterers Pride Red Kidney Beans 2.5 kg,BEA11B - 001 Prime,3,1,0.00%,0.02%,4,1,0.00%,0.02%,100.00%,100.00%,1,0,33.33%,0.00%,£10.51,£0.00,1,0
B0922VH7YC,B0922VH7YC,Silver Leaf Gelatine 1KG,BAK08 - 001,1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,1,1,100.00%,0.00%,£33.58,£33.58,1,1
B0928RZS3Y,B0928RZS3Y,"Belazu Extra Virgin Olive Oil With Black Truffle 250ml - Extra virgin olive oil infused with heady black truffle. It's fantastic simply drizzled over a fried egg, to finish a classic mushroom risotto",TRU10C - 004,4,0,0.00%,0.00%,5,0,0.00%,0.00%,100.00%,0.00%,1,0,25.00%,0.00%,£20.96,£0.00,1,0
B092JQQNFC,B092JQQNFC,Monin Blueberry Syrup 70cl Case of 6,MONINS32 - Prime,8,0,0.00%,0.00%,9,0,0.00%,0.00%,75.00%,0.00%,1,1,12.50%,0.00%,£60.11,£60.11,1,1
B0CBM1KDDG,B092RV833S,Callebaut Finest Belgian Gold Chocolate with Caramel Couverture Callets 400g,CAL32A - 001,124,3,0.07%,0.06%,154,4,0.07%,0.06%,0.00%,0.00%,1,0,0.81%,0.00%,£16.19,£0.00,1,0
B092W8P38W,B092W8P38W,Monin Glasco Lemon Syrup 70cl Case of 6,MONINS31 - 006 Prime,3,1,0.00%,0.02%,3,1,0.00%,0.02%,33.33%,0.00%,1,1,33.33%,100.00%,£43.51,£43.51,1,1
B0963RL632,B0963RL632,Parkers Poppy Seeds 1kg,SEE01 - 001,6,0,0.00%,0.00%,6,0,0.00%,0.00%,100.00%,0.00%,8,0,133.33%,0.00%,£72.56,£0.00,1,0
B09TRMZ1PX,B09B44RLKQ,"Nutritional Yeast Flakes 250g Premium Quality Vegan Friendly Non GMO, Gluten Free – Recyclable Container",ING03 - 001,22,0,0.01%,0.00%,26,0,0.01%,0.00%,66.67%,0.00%,1,0,4.55%,0.00%,£10.80,£0.00,1,0
B09BG6J3JR,B09BG6J3JR,"Elsinore - Cockles in Vinegar, Ready to Eat, 200g (Pack of 6)",ELSIN003 - 001,49,2,0.03%,0.04%,56,2,0.02%,0.03%,96.08%,0.00%,1,0,2.04%,0.00%,£20.11,£0.00,1,0
B09BJZF93S,B09BJZF93S,"SOSA Isomalt ""F"" Refined (900g)",SOS42 - 001,25,0,0.01%,0.00%,28,0,0.01%,0.00%,48.15%,0.00%,1,0,4.00%,0.00%,£17.10,£0.00,1,0
B09HZHGBFV,B09HZHGBFV,Merchant Gourmet Whole Chestnuts - 10x500g,NUT15E - 003,2,0,0.00%,0.00%,6,0,0.00%,0.00%,100.00%,0.00%,1,0,50.00%,0.00%,£45.73,£0.00,1,0
