SKU,Title,Sessions,Units,Conversion_%,Revenue_£,AOV_£
FOL03 - 001,"Folkington's Fruit Juice, Cranberry Juice, 12 Glass Bottles, Pure Fruit Juice, Multipack 12 x 250 ml",376.0,10.0,2.66,238.1,23.81
FOL03 - 001 Prime,"Folkington's Fruit Juice, Cranberry Juice, 12 Glass Bottles, Pure Fruit Juice, Multipack 12 x 250 ml",376.0,6.0,1.6,150.96,25.16
CRUSHA005 - 001 Prime,"Crusha Milkshake Mix Chocolate Flavour No Added Sugar, 500 ml",371.0,18.0,4.85,123.66,6.87
CHO28A - 005,"Snickers Caramel Peanut Chocolate Bars 50g - Pack of 24 (1 Box) | Delicious Chocolate, Caramel & Peanuts | Ideal Snack for Energy & Indulgence",368.0,2.0,0.54,56.0,28.0
TILDA002 - 013,"Tilda Pure Basmati Rice, 5kg",368.0,1.0,0.27,22.59,22.59
BEL02A - 001,"Belvoir Farm Sparkling Elderflower Presse - Hand Picked Elderflowers, Traditional Family Recipe, 100% Natural Ingredients, No Artificial Flavourings or Preservatives, Vegan 12 x 275ml Bottles",368.0,2.0,0.54,53.98,26.99
CHO28A - 003,"Snickers Caramel Peanut Chocolate Bars 50g - Pack of 24 (1 Box) | Delicious Chocolate, Caramel & Peanuts | Ideal Snack for Energy & Indulgence",368.0,2.0,0.54,44.0,22.0
COR34A - 004,"Fresher's Juice Drinks 5ltr (No Added Sugar Orange, 1)",365.0,32.0,8.77,338.52,10.58
UHT03 - 001 Prime,Kerrymaid UHT Whipping Cream - 12x1ltr,356.0,4.0,1.12,193.02,48.26
UHT03 - 001,Kerrymaid UHT Whipping Cream - 12x1ltr,356.0,1.0,0.28,48.64,48.64
THAITA014 - 001,"Thai Taste Green Curry Paste, 400g",356.0,8.0,2.25,63.04,7.88
WAF05A - 001 Prime,Askeys - Double Fan Wafers - 1 x 200,356.0,26.0,7.3,981.5,37.75
MED32B - 001 Uk shipping,Sottaceti Rizzi Borettane Onions in Balsamic Vinegar Tin - 2.5kg,353.0,9.0,2.55,156.1,17.34
MED32B - 001,Sottaceti Rizzi Borettane Onions in Balsamic Vinegar Tin - 2.5kg,353.0,35.0,9.92,637.13,18.2
CHO32 - 002,"Chocolate Bulk Buy (Dairy Milk Bars 48 x 45gm Box, (1 Pack))",352.0,2.0,0.57,98.24,49.12
CHO32 - 002 Prime,"Chocolate Bulk Buy (Dairy Milk Bars 48 x 45gm Box, (1 Pack))",352.0,13.0,3.69,586.46,45.11
HEI04 - 001,"Heinz Salad Cream, 2.15Ltr",351.0,15.0,4.27,296.4,19.76
COR50 - 005 Prime,BTL GRN ELDERFLOWER CORD 500ML,350.0,3.0,0.86,27.51,9.17
BAK30 - 001 Prime,Fondant Patissier (Belgofondant) 1kg,349.0,73.0,20.92,668.68,9.16
SPI56A - 001 uk shipping,Centaur Tonka Beans 50g,347.0,68.0,19.6,645.32,9.49
SPI56A - 001,Centaur Tonka Beans 50g,347.0,30.0,8.65,299.7,9.99
PES07C - 001 Prime,"Seggiano Raw Basil Pesto 1KG - Vegan, GMO Free, Gluten Free, Wheat Free, Raw, Vegetarian, and Suitable for Coeliacs - Product of Sicily & Great with Pasta",341.0,18.0,5.28,485.27,26.96
ALP01 - 010,Alpro SOYA Milk Alternative for Professionals Cartons - 12 x1 ltr,341.0,4.0,1.17,106.88,26.72
ALP01 - 010 uk shipping,Alpro SOYA Milk Alternative for Professionals Cartons - 12 x1 ltr,341.0,1.0,0.29,26.39,26.39
Doves Bundle - 001 Prime,Freee Bread Flour Selection Pack - 1 x White Bread Flour 1kg & 1 x Brown Bread Flour 1kg - Total 2 Packets - Free from Gluten,337.0,55.0,16.32,611.6,11.12
CAL03 - 013,Callebaut Finest Belgian Chocolate Select Milk 2.5kg,335.0,4.0,1.19,218.36,54.59
TOO08 - 001 Prime,"Alexander Home The Original European Mill (Brass, 8-Inch Pepper)",334.0,14.0,4.19,896.0,64.0
VALRHO010 - 001 Prime,"Valrhona Chocolat Noir, Guanaja 70%, 1kg",333.0,27.0,8.11,1058.17,39.19
VALRHO010 - 001,"Valrhona Chocolat Noir, Guanaja 70%, 1kg",333.0,7.0,2.1,276.84,39.55
TAYLOR010 - 002,"Taylors of Harrogate Lapsang Souchong Tea, 20 Individually Wrapped & Tagged Tea Bags (Pack of 6)",332.0,48.0,14.46,798.2,16.63
TAYLOR010 - 002 uk shipping,"Taylors of Harrogate Lapsang Souchong Tea, 20 Individually Wrapped & Tagged Tea Bags (Pack of 6)",332.0,1.0,0.3,16.98,16.98
ORI03B Prime,"Lee Kum Kee Plum Sauce, Vegan, 2.6 kg (Pack of 1)",331.0,8.0,2.42,137.88,17.24
FAT03C - 001,Centaur - Duck Fat - 1kg,331.0,24.0,7.25,311.72,12.99
COR51 - 002 Prime,Bottlegreenginger & Lemongrass Cordial 500ml,330.0,4.0,1.21,36.68,9.17
COR51 - 002,Bottlegreenginger & Lemongrass Cordial 500ml,330.0,6.0,1.82,51.0,8.5
COR20A - 003,"Fresher's Juice Drinks 5ltr (Lime, 1)",328.0,6.0,1.83,66.48,11.08
MAY25A - 004,QP Japanese Mayonnaise Condiment Sauce 450g (Pack of 2),328.0,7.0,2.13,94.09,13.44
MAY25A - 004 Prime,QP Japanese Mayonnaise Condiment Sauce 450g (Pack of 2),328.0,67.0,20.43,993.41,14.83
SPI12AA - 003,"Belazu Rose Harissa Paste, 170 g, Pack of 2",327.0,23.0,7.03,259.67,11.29
COR21A - 002,"Fresher's Juice Drinks 5ltr (No Added Sugar Blackcurrant, 1)",322.0,32.0,9.94,361.28,11.29
WRA01 - 003 uk shipping,"We Can Source It Ltd - Wrapmaster 3000 Cling Film – 30cm x 300m, 3 Rolls – Premium Kitchen Wrap for Professional Catering, Food Preservation, and Freezing – Compatible with Wrapmaster Dispensers",321.0,8.0,2.49,223.53,27.94
WRA01 - 003,"We Can Source It Ltd - Wrapmaster 3000 Cling Film – 30cm x 300m, 3 Rolls – Premium Kitchen Wrap for Professional Catering, Food Preservation, and Freezing – Compatible with Wrapmaster Dispensers",321.0,27.0,8.41,736.1,27.26
COR50 - 001 Prime,Bottlegreen Elderflower Cordial (6 x 500ml Bottles,321.0,39.0,12.15,1182.87,30.33
