SKU,Title,Sessions,Units,Conversion_%,Revenue_£,AOV_£
UHT03 - 003 Prime,Parkers Kerrymaid - WHIPPING CREAM - (GREEN) - 1ltr (6),83.0,11.0,13.25,324.45,29.5
CIF002 - 001 Prime,6 Pack of 750ml Cif Professional Formula Glass & Multi-Surface Cleaner Streak and Smear Free Finish,82.0,11.0,13.41,199.43,18.13
MIL07C - 007, ,82.0,1.0,1.22,8.09,8.09
RIC17C,Acquerello Carnaroli Rice Aged 1 Year – 2.5kg Vacuum Pack – Premium Italian Risotto Rice,82.0,7.0,8.54,219.09,31.3
SUG34 - 005 Prime,Truvia Sweetener from the Stevia Leaf 2 x 270g,82.0,1.0,1.22,15.49,15.49
TATECA002 - 002,Tate and Lyle Caster Sugar 25 kg,81.0,9.0,11.11,297.0,33.0
COMPOT01 - 001,Opies Black Cherry Compote - 1x1.2kg_AB,81.0,16.0,19.75,227.52,14.22
ORI300C - 005,KTC Crispy Fried Onions - 2 x 400g,81.0,2.0,2.47,17.72,8.86
CHEFCO04 - 001,"CHEF Chicken Liquid Concentrate, 1 Litre",81.0,1.0,1.23,21.3,21.3
ORI13D - 002 Prime,Golden Swan Water Chestnuts Whole in Water 227g,81.0,11.0,13.58,60.94,5.54
SWE10B - 001 Prime,Centaur - Dulce De Leche - 1kg,80.0,8.0,10.0,117.04,14.63
RIC16,Wild Rice 1Kg - Centaur Brand,80.0,13.0,16.25,252.46,19.42
DRE07 - 001 Prime,Lion - CAESAR Dressing - 2.27ltr (1),80.0,7.0,8.75,108.31,15.47
UHT05 - 001,Meadowchurn Aerosol Cream 1 x 500g,79.0,17.0,21.52,155.55,9.15
BRE04D - 001,Centaur Gluten Free Japanese Style Tempura Batter Mix 1kg,79.0,17.0,21.52,133.45,7.85
Crisps Bundle - 002 Prime,Brown Bag Oak Smoked Chilli Crisps and Rosemary & Sea Salt Crisps (2 boxes),79.0,1.0,1.27,33.36,33.36
BAR05 - 001,Parkers Chilli Rice Crackers 1kg,79.0,5.0,6.33,84.45,16.89
COLAVI005 - 001 Prime, ,78.0,7.0,8.97,100.73,14.39
PAS12A - 012,Pasta Reggia Cannelloni - 12x250g,78.0,1.0,1.28,19.23,19.23
BAK16A - 001,"Atlas Paillette Feuilletine 2.5kg I Ranson I Baking I Patisserie, Yellow",78.0,16.0,20.51,494.4,30.9
LIO05C - 002 Prime,Lion Korean BBQ Sauce 1ltr,78.0,1.0,1.28,10.73,10.73
SOY01 - 001,Lee Kum Kee Double Deluxe Soy Sauce 500ml | Naturally Brewed with Double Fermentation,78.0,1.0,1.28,8.43,8.43
PAS12A - 012 Prime,Pasta Reggia Cannelloni - 12x250g,78.0,4.0,5.13,74.75,18.69
OETKER011 - 003 Prime,Dr. Oetker Scotbloc White Chocolate Flavoured Drops - 3kg (single),77.0,16.0,20.78,517.67,32.35
OLAVI007 - 001,Colavita Limonolio Lemon Extra Virgin Olive Oil 250ml,77.0,12.0,15.58,114.12,9.51
DRE05 - 001 Prime,Lion Honey & Mustard Dressing 2.27ltr,77.0,7.0,9.09,114.09,16.3
CLOTHB001 - 001,"Ramon Hygiene, Pack of 50 All Purpose Cloths, sometimes called J Cloths, 30 x 38 cm, Blue Cloths",77.0,8.0,10.39,55.84,6.98
DRE05 - 001,Lion Honey & Mustard Dressing 2.27ltr,77.0,2.0,2.6,31.94,15.97
