SKU,ASIN,Status,Buy Box Price,Lowest Price,Currency,Our Price,Winning,Offers
"Bundle - 009 Prime",,Success,18.17,18.17,GBP,18.17,Yes,2
"Bundle - 013",,Success,13.09,13.09,GBP,13.09,Yes,2
"Bundle - 013 Prime",,Success,13.09,13.09,GBP,13.09,Yes,2
"Bundle - 014",,Success,10.43,10.43,GBP,10.43,Yes,2
"Bundle - 014 Prime",,Success,10.43,10.43,GBP,10.43,Yes,2
"Bundle - 015",,Success,10.45,10.45,GBP,10.45,Yes,2
"Bundle - 015 Prime",,Success,10.45,10.45,GBP,10.45,Yes,2
"Bundle - 016",,Success,10.11,10.11,GBP,10.11,Yes,2
"Bundle - 016 Prime",,Success,10.11,10.11,GBP,10.11,Yes,2
"Bundle - 034 Prime",,Success,23.57,23.57,GBP,23.57,Yes,1
"Bundle - 036 Prime",,Success,15.35,15.35,GBP,15.35,Yes,1
"Bundle - 048 Prime",,Success,21.55,21.55,GBP,21.55,Yes,1
"Bundle - 079 Prime",,Success,21.02,21.02,GBP,21.02,Yes,1
"Bundle - 080 Prime",,Success,,,,,No,0
"Bundle - 085 Prime",,Success,18.78,18.78,GBP,18.78,Yes,1
"Bundle - 106 Prime",,Success,15.74,15.74,GBP,15.74,Yes,1
"Bundle - 123 Prime",,Success,8.86,8.86,GBP,8.86,Yes,1
"Bundle - 124 Prime",,Success,21.97,21.97,GBP,21.97,Yes,1
"Bundle - 129 Prime",,Success,13.66,13.66,GBP,13.66,Yes,1
"Bundle - 130 Prime",,Success,9.85,9.85,GBP,9.85,Yes,1
"Bundle - 139 Prime",,Success,8.37,8.37,GBP,8.37,Yes,1
"Bundle - 144 Prime",,Success,15.88,15.88,GBP,15.88,Yes,1
"Bundle - 151 Prime",,Success,15.77,15.77,GBP,15.77,Yes,1
"Bundle - 153 Prime",,Success,8.99,8.99,GBP,,No,1
"Bundle - 154 Prime",,Success,,,,,No,0
"Bundle - 157 Prime",,Success,17.29,17.29,GBP,17.29,Yes,1
"Bundle - 158 Prime",,Success,21.55,21.55,GBP,21.55,Yes,1
"Bundle - 167 Prime",,Success,19.24,19.24,GBP,19.24,Yes,1
"Bundle - 179 Prime",,Success,17.49,17.49,GBP,17.49,Yes,1
"Bundle - 194 Prime",,Success,,,,,No,0
"Bundle - 195 Prime",,Success,18.01,18.01,GBP,18.01,Yes,1
"Bundle - 199 Prime",,Success,14.04,14.04,GBP,14.04,Yes,1
"Bundle - 200 Prime",,Success,11.95,11.95,GBP,11.95,Yes,1
"Bundle - 201 Prime",,Success,12.28,12.28,GBP,12.28,Yes,1
"Bundle - 202 Prime",,Success,13.19,13.19,GBP,13.19,Yes,1
"Bundle - 203 Prime",,Success,20.22,20.22,GBP,20.22,Yes,1
"Bundle - 208 Prime",,Success,,,,,No,0
"Bundle - 212 Prime",,Success,20.46,20.46,GBP,20.46,Yes,1
"Bundle - 214 Prime",,Success,16.27,16.27,GBP,16.27,Yes,1
"Bundle - 216 Prime",,Success,,,,,No,0
"BUNDLE015 - 001",,Success,13.35,13.35,GBP,19.36,No,3
"BUNDLE021 - 001",,Success,13.35,13.35,GBP,21.34,No,6
"BUNDLE022 - 001",,Success,19.99,19.99,GBP,21.34,No,2
"BUNDLE025 - 001",,Success,,15.5,GBP,21.7,No,4
"BUNDLE036 - 001",,Success,,19.36,GBP,19.36,No,2
"BUNDLE037 - 001",,Success,11.1,11.1,GBP,11.1,Yes,2
"BUNDLE037 - 001 Prime",,Success,11.1,11.1,GBP,11.1,Yes,2
"BUNDLE038 - 001",,Success,11.12,11.12,GBP,11.12,Yes,2
"BUNDLE038 - 001 Prime",,Success,11.12,11.12,GBP,11.12,Yes,2
"BUNDLE045 - 001",,Success,15.3,15.29,GBP,,No,8
"BUNDLE046 - 001",,Success,,,,,No,0
"BUT09G - 001",,Success,17.99,17.99,GBP,18.77,No,2
"CAK011 - 001",,Success,10.6,10.6,GBP,10.6,Yes,1
"CAL01A - 002",,Success,9.39,9.75,GBP,11.82,No,11
"CAL01A - 002 uk shipping",,Success,9.39,9.75,GBP,11.82,No,11
"CAL02B - 001",,Success,8.79,9.45,GBP,11.15,No,15
"CAL02B - 003",,Success,8.79,9.45,GBP,11.15,No,15
"CAL03A - 010",,Success,10.99,12.7,GBP,,No,6
"CAL03A - 010 Prime",,Success,10.99,12.7,GBP,,No,6
"CAL03A - 012",,Success,14,14.64,GBP,,No,3
"CAL03B - 002",,Success,16.39,17.5,GBP,17.83,No,17
"CAL03B - 002 uk shipping",,Success,16.39,17.5,GBP,17.83,No,17
"CAL04A - 007",,Success,16.99,18.99,GBP,,No,5
"CAL04A - 008",,Success,18.5,18.5,GBP,,No,3
"CAL04AA",,Success,16.99,18.99,GBP,,No,5
"CAL04AA uk shipping",,Success,16.99,18.99,GBP,,No,5
"CAL04B - 002",,Success,8.62,8.49,GBP,10.79,No,12
"CAL28AB - 001",,Success,12.58,13.99,GBP,12.59,No,6
"CAL32A - 001",,Success,12.53,11.99,GBP,12.69,No,5
"CAL32A - 002",,Success,12.1,11.99,GBP,12.11,No,5
"CAL32A - 002 Prime",,Success,12.1,11.99,GBP,12.11,No,5
"CAL51",,Success,8.62,8.49,GBP,10.79,No,12
"CAL52A",,Success,9.99,9.99,GBP,,No,2
"CALCHO001 - 001 One Day",,Success,16.97,21.99,GBP,16.97,Yes,4
"Callebaut bundle - 004",,Success,,,,,No,0
"CAMBR001 - 001",,Success,19.77,18.78,GBP,18.78,No,3
"CAMBR001 - 002 Prime",,Success,19.45,19.45,GBP,19.45,Yes,1
"CAMBR001 - 003 Prime",,Success,14.99,14.99,GBP,18.85,No,2
"CAMBR001 - prime",,Success,19.77,18.78,GBP,18.78,No,3
"CAMBR002 - 001",,Success,19.64,19.64,GBP,19.64,Yes,2
"CAMBR002 - 001 prime",,Success,19.64,19.64,GBP,19.64,Yes,2
"CAMBR002 - 002",,Success,20.58,19.64,GBP,19.64,No,3
"CAMBR002 - 002 prime",,Success,20.58,19.64,GBP,19.64,No,3
"CAMBR002 - 003",,Success,14.99,14.99,GBP,19.64,No,3
"CAMBR002 - 003 Prime",,Success,14.99,14.99,GBP,19.64,No,3
"CAMBR003 - 001",,Success,,,,,No,0
"CAMBR003 - 002 Prime",,Success,,,,,No,0
"CAMBR008 - 001",,Success,26.13,26.13,GBP,,No,1
"CAMBR008 - 002 Prime",,Success,,,,,No,0
"CAMBR009 - 001",,Success,8.63,8.63,GBP,11.98,No,2
"CAMBR009 - 002 Prime",,Success,12.65,12.65,GBP,12.65,Yes,1
"CAMBR010 - 001",,Success,13.54,13.54,GBP,12.7,No,3
"CAMBR010 - 002",,Success,13.54,13.54,GBP,12.7,No,3
"CAMBR010 - 003",,Success,12.72,12.72,GBP,12.72,Yes,2
"CAMBR010 - 003 Prime",,Success,12.72,12.72,GBP,12.72,Yes,2
"CAMBR013 - 001",,Success,19.64,19.64,GBP,21.45,No,3
"CAMBR013 - 002",,Success,19.64,19.64,GBP,21.45,No,3
"CAMBR013 - 003 Prime",,Success,22.12,22.12,GBP,22.12,Yes,1
"CAMBR014 - 001",,Success,14.99,14.99,GBP,17.57,No,2
"CAMBR014 - 002 Prime",,Success,18.26,18.26,GBP,18.26,Yes,1
"CAMBR016 - 001",,Success,10.6,10.6,GBP,12.83,No,2
"CAMBR016 - 002 Prime",,Success,13.5,13.5,GBP,13.5,Yes,1
"CAMBR017 - 001",,Success,17.37,17.37,GBP,17.37,Yes,1
"CAN01 - 001",,Success,,18.55,GBP,23.32,No,45
"CAN01 - 002",,Success,,18.55,GBP,23.32,No,45
"CAN01 - 003",,Success,,18.55,GBP,23.32,No,45
"CAN01 - 006",,Success,,19.27,GBP,23.32,No,11
"CAN02 - 001 Prime",,Success,,15.25,GBP,21.67,No,17
"CAN02 - 003 Prime",,Success,,9.97,GBP,21.67,No,21
"CAN03 - 001",,Success,,18.48,GBP,19.36,No,11
"CAN03 - 003",,Success,,19.36,GBP,19.36,No,3
