(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions – Mobile app,Sessions – Mobile APP – B2B,Sessions – Browser,Sessions – Browser – B2B,Sessions – Total,Sessions – Total – B2B,Session percentage – Mobile App,Session percentage – Mobile APP – B2B,Session percentage – Browser,Session percentage – Browser – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Mobile app,Page views – Mobile APP – B2B,Page views – Browser,Page views – Browser – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Mobile App,Page views percentage – Mobile app – B2B,Page views percentage – Browser,Page views percentage – Browser – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B
B0B4B4MBBR,B0B4B4MBBR,Lefktro Tahini 900g,DIP10E - 001,3,0,3,0,6,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6,0,4,0,10,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,2,0,33.33%,0.00%,£22.64,£0.00,2,0
B0B4BFBTGH,B0B4BFBTGH,Lion Honey & Mustard Dressing 2.27ltr,DRE05 - 001,24,0,13,0,37,0,0.02%,0.00%,0.02%,0.00%,0.02%,0.00%,31,0,15,0,46,0,0.02%,0.00%,0.01%,0.00%,0.02%,0.00%,92.68%,0.00%,2,0,5.41%,0.00%,£31.94,£0.00,2,0
B0B8DK6GFB,B0B8DLRH3X,Mona Lisa Dark Chocolate Shavings 2.5kg,DEC20 - 002,8,0,2,1,10,1,0.01%,0.00%,0.00%,0.02%,0.01%,0.01%,9,0,2,1,11,1,0.01%,0.00%,0.00%,0.01%,0.00%,0.01%,100.00%,100.00%,8,6,80.00%,600.00%,£389.76,£292.32,2,1
B0B99329X1,B0B99329X1,Parkers Kerrymaid UHT Double Cream 12 x 1 Litre,UHT03B - 002,59,2,68,3,127,5,0.06%,0.14%,0.08%,0.05%,0.07%,0.06%,81,5,87,3,168,8,0.06%,0.25%,0.08%,0.03%,0.07%,0.08%,97.42%,100.00%,2,0,1.57%,0.00%,£102.48,£0.00,2,0
B0B9F9WJDR,B0B9F4YPPR,Maggi Original Gravy 1.8kg x 2 case,MAGGIG001 - 006,7,1,16,0,23,1,0.01%,0.07%,0.02%,0.00%,0.01%,0.01%,14,1,22,0,36,1,0.01%,0.05%,0.02%,0.00%,0.01%,0.01%,93.33%,0.00%,2,0,8.70%,0.00%,£74.02,£0.00,2,0
B0BJFTJYW4,B0B9NHWWDN,"Matthew Walker Festive Catering Classic Christmas Pudding, Vegan Friendly, 100 g (Pack of 36)",CHR04C - 001,11,0,28,2,39,2,0.01%,0.00%,0.03%,0.03%,0.02%,0.03%,21,0,34,4,55,4,0.02%,0.00%,0.03%,0.05%,0.02%,0.04%,100.00%,100.00%,2,0,5.13%,0.00%,£96.18,£0.00,2,0
B0BDM9TM4D,B0BDM9TM4D,Lion Thousand Island Dressing 2.27Ltr,DRE03 - 001,22,0,23,0,45,0,0.02%,0.00%,0.03%,0.00%,0.02%,0.00%,41,0,29,0,70,0,0.03%,0.00%,0.03%,0.00%,0.03%,0.00%,93.44%,0.00%,2,0,4.44%,0.00%,£26.42,£0.00,2,0
B0BDMLR2FY,B0BDMLR2FY,"Parkers Lion Chipotle Mayonnaise 1 Litre, Pink",MAY21 - 001,37,0,23,0,60,0,0.03%,0.00%,0.03%,0.00%,0.03%,0.00%,46,0,31,0,77,0,0.03%,0.00%,0.03%,0.00%,0.03%,0.00%,16.67%,0.00%,2,0,3.33%,0.00%,£19.01,£0.00,2,0
B0BRXLVG48,B0BQRVGYNZ,Jude's | Chocolate Milkshake | 250ml x 12 Cans,JUD81 - 001 Prime,6,0,5,0,11,0,0.01%,0.00%,0.01%,0.00%,0.01%,0.00%,10,0,5,0,15,0,0.01%,0.00%,0.00%,0.00%,0.01%,0.00%,66.67%,0.00%,2,0,18.18%,0.00%,£41.36,£0.00,2,0
B0BS6SHP4W,B0BS6SHP4W,Lion Mint Sauce 2.27ltr F,LIO08 - 001,15,1,14,0,29,1,0.01%,0.07%,0.02%,0.00%,0.02%,0.01%,16,2,15,0,31,2,0.01%,0.10%,0.01%,0.00%,0.01%,0.02%,93.55%,100.00%,2,0,6.90%,0.00%,£22.66,£0.00,2,0
B0BYT89VYW,B0BYT89VYW,South Downs Water 24 x 500ML Sparkling - 100% Recyclable Bottles,SOUTHD008 - 001,6,0,3,0,9,0,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,7,0,5,0,12,0,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,90.91%,0.00%,3,0,33.33%,0.00%,£53.19,£0.00,2,0
