(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions – Mobile app,Sessions – Mobile APP – B2B,Sessions – Browser,Sessions – Browser – B2B,Sessions – Total,Sessions – Total – B2B,Session percentage – Mobile App,Session percentage – Mobile APP – B2B,Session percentage – Browser,Session percentage – Browser – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Mobile app,Page views – Mobile APP – B2B,Page views – Browser,Page views – Browser – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Mobile App,Page views percentage – Mobile app – B2B,Page views percentage – Browser,Page views percentage – Browser – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B
B0CGVG4J57,B0CGVHXLF2,"Gravy Browning 1.2kg – Dark & Rich Liquid Seasoning for Roasts, Gravy Colouring Enhancer, Catering Size Cooking Ingredient (4)",GRA12A - 003,3,0,5,0,8,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3,0,9,0,12,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,83.33%,0.00%,1,0,12.50%,0.00%,£40.49,£0.00,1,0
B0CH3PNVVZ,B0CH3PNVVZ,"Opies Fruits with Alcohol (Opies Baby Pears In Amaretto 420gm, 1)",OPIES003 - 008 Prime,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2,0,0.00%,0.00%,£20.84,£0.00,1,0
B0CH3PWZ7Q,B0CH3PWZ7Q,"Opies Fruits with Alcohol (Opies Peaches In Aged Brandy 460gm, 1)",OPIES001 - 008 Prime,1,0,4,0,5,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1,0,4,0,5,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,1,0,20.00%,0.00%,£9.24,£0.00,1,0
B0CHS66YHY,B0CHS66YHY,Heygates Fine Lady Self Raising Flour 1.5kg,FLO03B - 001,7,0,15,0,22,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,11,0,19,0,30,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,92.59%,0.00%,1,0,4.55%,0.00%,£5.33,£0.00,1,0
B0CJV7P8ZY,B0CJV7P8ZY,Lion Tartare Sauce 2.27lt,LIO10 - 002,5,0,14,0,19,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7,0,15,0,22,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,80.00%,0.00%,1,0,5.26%,0.00%,£13.50,£0.00,1,0
B0CJW55M9X,B0CJVQZCR2,"James Brown Strawberry Jelly Crystals 3.5kg (Straberry and Raspberry Bundle, 2 x 3.5kg)",Bundle - 022 Prime,12,1,7,2,19,3,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,14,1,8,2,22,3,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,1,0,5.26%,0.00%,£35.00,£0.00,1,0
B0CKFDK9RG,B0CKFCY8LG,Ciemme Gluten Free Gnocchi 500gm (12),PAS11 - 012 Prime,2,0,1,0,3,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2,0,1,0,3,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,1,1,33.33%,0.00%,£37.95,£37.95,1,1
B0CKHTV26K,B0CKHSRGX7, ,VALRHO016 - 001 Prime,4,0,4,0,8,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5,0,5,0,10,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,88.89%,0.00%,1,0,12.50%,0.00%,£120.00,£0.00,1,0
B0CL9WHHKV,B0CL9WHHKV,Cooks & Co Sweety Drop Peppers 793gm (Pack of 1),MED33E - 001 Prime,16,0,15,1,31,1,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,21,0,16,1,37,1,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,70.59%,100.00%,2,0,6.45%,0.00%,£19.06,£0.00,1,0
B0CLM4W1JF,B0CLM4W1JF,"Caterers Pride Tinned Fruits (Pear Halves In Syrup 2.6kg, Pack of 6)",FRU02A - 002,2,0,2,0,4,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3,0,2,0,5,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,75.00%,0.00%,1,1,25.00%,0.00%,£46.71,£46.71,1,1
B0CLM4P61M,B0CLM4W1JF,"Caterers Pride Tinned Fruits (Pear Halves In Syrup 2.6kg, Pack of 6)",FRU02A - 002,0,0,1,1,1,1,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,1,1,1,1,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,1,1,100.00%,100.00%,£46.65,£46.65,1,1
