(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions – Total,Sessions – Total – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B
B09J5CNBYK,B09J5CNBYK,"Merchant Gourmet Whole Cooked Chestnuts - Naturally Sweet, Nutty Flavour, Source of Fibre, Low Fat & Vegan - Ideal for Snacking & Baking - Pack of 10 x 500g Ready-to-eat Pouches",VEG15E - 001,82,10,0.04%,0.16%,113,15,0.04%,0.18%,99.05%,100.00%,15,2,18.29%,20.00%,£629.85,£83.98,15,2
B0BXQ7KBP4,B0BXQ7KBP4,Flying Goose Sriracha Mayonnaise Sauces 730ml - LARGE BOTTLE (Pack of 2) VEGAN,MAY22 - 003,49,2,0.02%,0.03%,59,2,0.02%,0.02%,98.31%,100.00%,15,1,30.61%,50.00%,£200.82,£13.58,15,1
B0CD2QKD7V,B0CD2QKD7V,"Crusha Milkshake Banana, Chocolate and Strawberry Bundle (3 x 1ltr) F",Bundle - 009 Prime,162,1,0.07%,0.02%,212,1,0.07%,0.01%,96.83%,0.00%,16,0,9.88%,0.00%,£326.24,£0.00,15,0
B0DG3594P5,B0DG3594P5,Brown Bag - LIGHTLY SALTED Crisps - 2 X 20 x 40gm - (2 BOXES),CRI30 - 002 Prime,37,1,0.02%,0.02%,58,1,0.02%,0.01%,98.18%,100.00%,15,0,40.54%,0.00%,£494.67,£0.00,15,0
B0DG5VQWR3,B0DG5VQWR3,Brilllo Multi-Use Soap Pads 10pcs (Pack of 6) | Heavy-Duty Scrubbing | Pre-Loaded with Soap | Ideal for Tough Grease and Grime | Multi-Surface Cleaning | Rust & Stain Removal for Kitchens & Outdoors,CLE06A - 005 uk shipping,21,0,0.01%,0.00%,28,0,0.01%,0.00%,91.67%,0.00%,15,0,71.43%,0.00%,£261.99,£0.00,15,0
B0DZ2ZW2WZ,B0DZ2WNQ64,"Callebaut - 823-33.6% Milk Chocolate Callets - 2.5kg - (Sold by Parkers Foodservice) (Pack of 2, 2500, gram)",CAL03 - 011 Prime,109,5,0.05%,0.08%,130,5,0.05%,0.06%,96.67%,100.00%,15,2,13.76%,40.00%,"£1,000.43",£141.13,15,2
B0F3JSK8CQ,B0F3JSK8CQ,South Downs Water Still Glass 12 x 750ml,SOUTHD003 - 001,50,1,0.02%,0.02%,67,1,0.02%,0.01%,96.83%,100.00%,40,1,80.00%,100.00%,£907.84,£22.91,15,1
B00CJV396A,B00CJV396A,Freshers Lime Juice Cordial 1 x 5litre,COR20A - 002,13,2,0.01%,0.03%,15,3,0.01%,0.04%,100.00%,0.00%,15,2,115.38%,100.00%,£188.91,£25.94,14,1
B01B6G5D58,B01B6G5D58,"Callebaut, Milk, Dark & White chocolate chips (3 x 1kg Bundle)",BUNDLE001 - 002,"1,216",26,0.55%,0.42%,"1,665",33,0.59%,0.39%,6.92%,8.33%,14,2,1.15%,7.69%,£631.82,£84.86,14,2
B077B43TXT,B077B43TXT,Country Range Assorted Jam Portions - 1x100x20g,JAM03B - 009,402,14,0.18%,0.23%,612,25,0.22%,0.30%,5.76%,12.50%,14,3,3.48%,21.43%,£203.91,£42.75,14,3
