(Parent) ASIN,(Child) ASIN,Title,Sessions – Total,Sessions – Total – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B
B0D6W22ZM5,B004TEZHWE,"Eager Smooth Orange Juice 100% Squeezed, Refreshing Fruit Drink, No Bits, NFC Not From Concentrate, 1 Litre (Pack of 8)",385,61,0.05%,0.23%,499,83,0.05%,0.22%,24.63%,1.25%,31,14,8.05%,22.95%,£991.51,£447.86,19,2
B0BDMG238X,B0BDMG238X,Lion French Mustard 2.27 Litres,75,0,0.01%,0.00%,96,0,0.01%,0.00%,95.56%,0.00%,19,0,25.33%,0.00%,£260.87,£0.00,19,0
B0CLM75717,B0CLM8LTHB,"Buchanan Dried Fruits (Glace Cherries 1kg, Pack of 1)",32,1,0.00%,0.00%,34,1,0.00%,0.00%,93.75%,100.00%,19,0,59.38%,0.00%,£235.60,£0.00,19,0
B0CTMW5SHC,B0CTMW5SHC,Ballerina Tinned Sweetcorn 2.125kg (Pack of 2),72,0,0.01%,0.00%,90,0,0.01%,0.00%,100.00%,0.00%,20,0,27.78%,0.00%,£324.20,£0.00,19,0
B0CD7WJGVM,B0D6NLL4CY,"Crusha Milk Shake Syrup 1ltr (1, Raspberry)",100,2,0.01%,0.01%,120,2,0.01%,0.01%,94.50%,100.00%,20,0,20.00%,0.00%,£189.40,£0.00,19,0
B0F7M3FV83,B0F7M3FV83,Osprio Corn Flour 3.5kg – Premium-Grade Cornflour for Culinary Use,32,1,0.00%,0.00%,39,1,0.00%,0.00%,100.00%,100.00%,27,3,84.38%,300.00%,£294.39,£32.64,19,2
B086R2WZDT,B086R2WZDT,Dried Currants 3kg,32,0,0.00%,0.00%,44,0,0.00%,0.00%,70.73%,0.00%,22,0,68.75%,0.00%,£454.10,£0.00,18,0
B093T7TS2H,B093T7TS2H,Cider Vinegar 5L Lefktro Brand,31,2,0.00%,0.01%,50,5,0.01%,0.01%,97.78%,0.00%,30,0,96.77%,0.00%,£330.42,£0.00,18,0
B0CP9MCTJ1,B0CP9MCTJ1,Ranson Roasted Nibbed Hazelnuts 1kg 2-4MM,15,0,0.00%,0.00%,21,0,0.00%,0.00%,100.00%,0.00%,18,2,120.00%,0.00%,£328.14,£36.46,18,2
B0D184G3RW,B0D184G3RW,Chef Approved - Salt Sachets - 1 x 2000,25,3,0.00%,0.01%,28,3,0.00%,0.01%,96.43%,100.00%,18,3,72.00%,100.00%,£184.68,£30.78,18,3
B0CH1LNQ4Y,B0046HQ2B4,"MONIN Premium Toffee Nut Syrup 700ml for Coffee and Cocktails. Vegan-Friendly, Allergen-Free, 100% Natural Flavours and Colourings",541,6,0.07%,0.02%,724,8,0.07%,0.02%,7.16%,0.00%,18,0,3.33%,0.00%,£222.48,£0.00,17,0
B0FM4HNCPW,B005NN9TCY,"Bisto The Original Gravy Powder Just Add to Roasting Juices, 3 kg Tub (Pack of 1) - Packaging may vary","1,461",26,0.19%,0.10%,"2,290",38,0.23%,0.10%,0.05%,0.00%,18,0,1.23%,0.00%,£584.10,£0.00,17,0
B0CBLYF4Y3,B00H7XB0MA,Callebaut White Chocolate Callets 2.5 kg,123,2,0.02%,0.01%,150,2,0.02%,0.01%,52.24%,0.00%,18,2,14.63%,100.00%,£784.62,£87.18,17,2
B077BJ882X,B077BJ882X,McDougalls Fish Batter Mix - 4x3.5kg,38,2,0.01%,0.01%,45,2,0.00%,0.01%,93.18%,100.00%,22,2,57.89%,100.00%,"£1,111.22",£101.02,17,2
