(Parent) ASIN,(Child) ASIN,Title,Sessions – Total,Sessions – Total – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B
B0DGQDG9M6,B0DGQDG9M6,"Khanum Butter Ghee 1 Kg, Pure Cow Ghee Vegetarian Dairy Oil Gluten Free Traditional Ghee",42,1,0.01%,0.00%,52,1,0.01%,0.00%,10.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DGQQK881,B0DGQQK881,Lion - THOUSAND ISLAND Dressing - 2.27ltr - (Pack of 2),10,0,0.00%,0.00%,13,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DGY34D4F,B0DGY34D4F,4 x Quality Street Chocolate Tubs 550G Perfect For Christmas,93,6,0.01%,0.02%,109,8,0.01%,0.02%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DHSB5LQJ,B0DHSB5LQJ,Batchelors - CHIP SHOP Mushy Peas - 3kg - (Pack of 6),2,0,0.00%,0.00%,3,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DHW38NQT,B0DHVYV7K6,"Rummo Premium Italian (3 x 500g, Classic Italian Pasta Bundle)",3,0,0.00%,0.00%,3,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DHW38NQT,B0DHVYZNN1,"Rummo Premium Italian (3 x 500g, Variety in Shapes Bundle)",4,1,0.00%,0.00%,4,1,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DHW38NQT,B0DHVZ1Q3W,"Rummo Premium Italian (3 x 500g, Short Pasta Bundle)",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DHVZRSR2,B0DHVZRSR2,"Rummo Premium Italian Gluten-Free Pasta Bundle | Elbows, Spaghetti & Penne 3 x 400g | Healthy Pasta Pack",32,0,0.00%,0.00%,38,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DHW38NQT,B0DHW2Z77R,"Rummo Premium Italian (3 x 500g, Long Pasta Lovers Bundle)",14,1,0.00%,0.00%,15,1,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DJN7T2LW,B0DJN7T2LW,"Quaker Oats Oat Granola Raisin, 500g",1,0,0.00%,0.00%,1,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DJPKBB3Z,B0DJPHCVGH,"La Mexicana - Tortilla Chips (12 x 500gm, SALTED) (packaging may vary)",12,1,0.00%,0.00%,13,1,0.00%,0.00%,100.00%,100.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DJWDM88F,B0DJWDM88F,Manora - Shrimp Crackers - 500gm - (Case of 20),3,0,0.00%,0.00%,3,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DJWFTX91,B0DJWGDBF3,"Chef William - Fennel Seeds - 330gm (1, 330, gram)",2,0,0.00%,0.00%,2,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DJWJ9QT5,B0DJWJ9QT5,Golden Swan - Vietnamese Prawn Crackers - 2kg - (Pack of 6),8,1,0.00%,0.00%,10,1,0.00%,0.00%,40.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DK5BD5P6,B0DK5BD5P6,Kenco Smooth Instant Coffee 750g Tin (Pack of 4),153,51,0.02%,0.19%,185,62,0.02%,0.17%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DK7MD8CR,B0DK7MD8CR,Cooks Professional Jersey Gold Luxury Ice Cream Mix | Soft Serve | Creamy Taste | Home or Commercial use | Superior Creamy Taste | 1L,4,1,0.00%,0.00%,4,1,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DKK2PBWN,B0DKK2PBWN,Luxury Tea Selection with Complimentary Presentation Gift Box,3,0,0.00%,0.00%,3,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DKK38F9F,B0DKK38F9F,Zazou Emporium - Madagascar Vanilla Pods - Pack of 10 - Grade A Vanilla Beans - Gourmet Vanilla for Baking in a Resealable Pouch,4,0,0.00%,0.00%,8,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DKK38F9F,B0DKK3MQWC,Zazou Emporium - Madagascar Vanilla Pods - Pack of 10 - Grade A Vanilla Beans - Gourmet Vanilla for Baking in a Resealable Pouch (10 Pods),265,9,0.04%,0.03%,391,17,0.04%,0.05%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DKTRLLQN,B0DKTRLLQN,"Sosa Vegetable Setting Powder - Premium, and Elastic Gelatine Substitute Powder. Made from Natural Carrageen and Carob Bean Gum - 500g",17,1,0.00%,0.00%,22,3,0.00%,0.01%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DM6JTHQ9,B0DL6H1Z5H,Celebrations Milk Chocolate & Biscuit Bars Sharing Tub 500g Pack of 4 (4x500g),51,3,0.01%,0.01%,59,5,0.01%,0.01%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DMFL6HS5,B0DM9PCPZF,Tom Smith Luxury Silver & White Script Crackers - 50 x 11inch - XIGDC0614 Festive Party Crackers,1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DM9P719F,B0DM9Q4CBN,Tom Smith Standard White & Silver Tree Crackers -100 x 10inch - XIGDC0607 Festive Party Crackers,1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DM9P719F,B0DM9QZ34G,Tom Smith Deluxe Cream & Gold Art Deco Crackers 25 x 14 Inch | XIGDC0636 Festive Party Crackers,4,0,0.00%,0.00%,4,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DMFW6BW7,B0DMFW6BW7,Matthew Walker - VEGAN Christmas Pudding - 36 x 100gm (Pack of 2),3,0,0.00%,0.00%,4,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DMTFZS2Y,B0DMTFZS2Y,Riverdene Cranberry Sauce 2.5kg - (Pack of 2),1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DMTKBKMD,B0DMTKBKMD,Leman Chocolate Golden Spot Spoons 1 x 40,1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DMTNHBH1,B0DMTNHBH1,Dr. Oetker Bundle - Chocolate & Sugar Strands - 2 x 700gm,8,0,0.00%,0.00%,8,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DN34ZT4Q,B0DN34ZT4Q,ICE VALLEY - Still Spring Water 24 x 500ml,1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DNR23Z5S,B0DNR23Z5S,AMK® Service It Power Descaler Removes Limescale From Appliances Extends Appliance Life,3,1,0.00%,0.00%,3,1,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DNR3N92Z,B0DNR3N92Z,"Branston - Small Chunk Pickle, 2 x 2.55kg",13,0,0.00%,0.00%,15,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DP59J3QJ,B0DP59J3QJ,Lea & Perrins - Worcester Sauce - 4ltr,7,0,0.00%,0.00%,9,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DPQVQZ4N,B0DPQVQZ4N,Parkers - POWER - 80% Callets - 2.5kg,1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DPR8R4D1,B0DPR8R4D1,Tilda - Everyday Rice - 4kg - (Pack of 2),1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DPSKRN7Y,B0DPSKRN7Y,Taylors of Harrogate Rich Italian Ground Coffee,1,0,0.00%,0.00%,1,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DQ5HB5XM,B0DQ5HB5XM,San Pellegrino Italian Sparkling Drinks Tastefully Light Sparkling Canned Soft Drink,1,0,0.00%,0.00%,1,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DQ5MPS22,B0DQ5MPS22,"Digestives The Original Biscuits Twin Pack 2x360g (Pack Of 6) ""Deliciousness that brings a smile"" Gift Hamper Treat For All Occasions",5,0,0.00%,0.00%,5,0,0.00%,0.00%,80.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DQ5NR879,B0DQ5NR879,San Pellegrino Italian Sparkling Drinks Tastefully Light,24,2,0.00%,0.01%,24,2,0.00%,0.01%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DQ5VDBS8,B0DQ5SQVQS,"Digestives The Original Biscuits Twin Pack 2x360g ""Deliciousness that brings a smile"" Gift Hamper Treat For All Occasions (Pack Of 2)",1,0,0.00%,0.00%,1,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DQ62XRGD,B0DQ62XRGD,"Digestives The Original Biscuits 360g (Pack Of 4) Delicious Tasty And Twisty Treat Gift Hamper, Christmas,Birthday,Easter",7,0,0.00%,0.00%,11,0,0.00%,0.00%,90.91%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DQ62DKTS,B0DQ65DYF5,"Digestives The Original Biscuits 360g Delicious Tasty And Twisty Treat Gift Hamper, Christmas,Birthday,Easter (Pack Of 6)",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DQV1Y27C,B0DQV1Y27C,"NESCAFÉ Cappuccino x12 Instant Coffee Sachets (Pack of 6, Total 72 Sachets)",25,0,0.00%,0.00%,33,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DRPNSHWF,B0DRPNSHWF,Luxury - Raw Mixed Whole Nut Kernels - 1kg,1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DRPQFHXN,B0DRPQBQH6,Bay Tree Marinated Miniature Figs (6 x 600gm),2,0,0.00%,0.00%,3,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DRPP4WB6,B0DRPQC1QF,Bay Tree Marinated Miniature Figs (330gm),6,0,0.00%,0.00%,8,0,0.00%,0.00%,83.33%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DRPQFHXN,B0DRPQTJ48,Bay Tree Marinated Miniature Figs (6 x 330gm),3,0,0.00%,0.00%,4,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DT9P3K72,B0DT9P3K72,"Daz Washing Powder 125 Washes – Family Pack Laundry Detergent for Brilliant Whites & Powerful Stain Removal – Long Lasting, Fresh Scent. 6.25kg","1,148",26,0.15%,0.10%,"1,525",51,0.16%,0.14%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DTJBS8HR,B0DTJBS8HR,Cif - Pro Cleaning Bundle - 4 x 750ml,6,0,0.00%,0.00%,7,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DTKGQJCT,B0DTKGQJCT,Lion Louisiana BBQ Sauce 1ltr,6,0,0.00%,0.00%,6,0,0.00%,0.00%,16.67%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DTKNXB5N,B0DTKNXB5N,Lion Maple & Bourbon BBQ Sauce 1ltr - (Pack of 6),1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DTQ3HNZZ,B0DTQ3HNZZ,Fontinella - Baked Beans in Tomato Sauce - 800g - (Pack of 6),3,0,0.00%,0.00%,3,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DTQBD96S,B0DTQBD96S,Alpro Barista Gluten Free Oat 1L Piece,1,0,0.00%,0.00%,1,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DVGYWXJ4,B0DVH343TW,"Callebaut - DARK - 811 Callets - 2.5kg (Sold by Parkers Foodservice) (4 Packs, 2500.0, gram)",11,0,0.00%,0.00%,15,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DVJ6YSM2,B0DVHW4RDJ,Callebaut - Dark - 70.5% Callets - 2.5kg - (Sold by Parkers Foodservice) 70-30-38 (4 Packs),12,0,0.00%,0.00%,12,0,0.00%,0.00%,90.91%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DVJ8R115,B0DVHX2D31,Callebaut - W2 White - 28% Callets - 2.5kg (Sold by Parkers Foodservice) (4 Packs),3,0,0.00%,0.00%,3,0,0.00%,0.00%,66.67%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DVJ8R115,B0DVJ8R115,Callebaut - W2 White - 28% Callets - 2.5kg (Sold by Parkers Foodservice),1,0,0.00%,0.00%,1,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DVQGQSSP,B0DVQFWSHC,"McVitie's Ginger Nuts Biscuits, 250g | Deliciously spiced and crunchy biscuits | Great for snacking or Dipping | Multipack bundle | Afternoon tea biscuits to share with Friends and Family (Pack of 12)",4,0,0.00%,0.00%,7,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DW4GVLFH,B0DW4GVLFH,Lion Tartare Sauce 2.27ltr - (Pack of 2),11,0,0.00%,0.00%,13,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DW8WLC6S,B0DW91LQ1V,Drink Me Chai Signature Blends Matcha Latte 1kg (Pack of 1) Just Add Milk | Made with Authentic & Aromatic Spices & Matcha Green Tea Powder | 50 Servings,552,28,0.07%,0.10%,744,37,0.08%,0.10%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DW99V5X5,B0DW99V5X5,"HP Texan Style BBQ Sauce , 2.15Ltr",3,0,0.00%,0.00%,3,0,0.00%,0.00%,66.67%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DWT3NBWW,B0DWT3NBWW,"Tate & Lyle Granulated Sugar 1kg (Pack of 15) | Pure Cane Sugar for Baking, Cooking & Beverages | Perfect for Everyday Use",381,73,0.05%,0.27%,466,90,0.05%,0.24%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DWTCJWF2,B0DWTCJWF2,The Bay Tree Spiced Apple & Onion Chutney 1.2kg,1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DWXY3H5B,B0DWXY3H5B,Caterers Pride Red Sweet Drop Peppers 800gm,2,0,0.00%,0.00%,2,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DXMC9VHL,B0DXMC9VHL,McVitie's Digestives Original Biscuits,1,0,0.00%,0.00%,1,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DY7YF5RP,B0DY7YF5RP,"Heinz Beanz, 2.62 kg Single Pack",2,0,0.00%,0.00%,2,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DY843XJP,B0DY843XJP,Heinz Baked Beanz 415 g (Pack of 6),3,0,0.00%,0.00%,3,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DY85DF5Q,B0DY85DF5Q,Securit Chalk Marker,1,0,0.00%,0.00%,1,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DYDSDSBM,B0DYDSDSBM,NESCAFÉ Cappuccino Instant Coffee Sachets - 72 x 15.5g,"12,171",224,1.61%,0.83%,"16,110",389,1.65%,1.05%,0.01%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DYF6XMNW,B0DYF6XMNW,Bisto Flavoursome Gravy Granules for Hearty Family Mealtimes,2,0,0.00%,0.00%,2,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DYPHBYX6,B0DYPHBYX6,The Bay Tree - Spicy Tomato & Onion Chutney - 3kg - (Pack of 4),2,0,0.00%,0.00%,3,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DZCQLL9Y,B0DZCQLL9Y,"Cambrook - Black Pepper Crackers, 330g Bag",1,0,0.00%,0.00%,1,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DZCSR1V9,B0DZCSR1V9,"Cambrook - Baked Sweet Chilli Peanuts & Cashews, 45g Bags, Pack of 24",1,0,0.00%,0.00%,1,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DZJJF1WK,B0DZJJF1WK,Ramon Proguard Medium Rubber Gloves 10 x Pair,4,1,0.00%,0.00%,4,1,0.00%,0.00%,66.67%,100.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DZPFHGPQ,B0DZPFHGPQ,"Centaur Walnut Oil 500ml – Refined & Virgin Blend – Premium Nut Oil for Cooking, Salads & Dressings",13,0,0.00%,0.00%,23,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DZPHGH6M,B0DZPHGH6M,Oxo Stock Cubes,8,0,0.00%,0.00%,8,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0DZQ3Q1Z7,B0DZQ3Q1Z7,Chef William - Whole Green Cardamom Pods - 285gm - (Pack of 6),1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0F149DDGN,B0F149DDGN,Parkers Foodservice - Black Sesame Seeds - 1kg,1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0F1DNG79R,B0F1DNG79R,Parkers Foodservice - Sriracha Seasoning - 500gm,1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0F24VLBMX,B0F24VLBMX,ETINA Pitted Hojiblanca (Spanish) Green Olives 4.1kg,1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0F24Y8QZX,B0F24Y8QZX,Clarks - PURE Maple Syrup - 1ltr - (Pack of 6),3,0,0.00%,0.00%,3,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0F289HX1R,B0F289HX1R,24x Tango Orange Can 330ml,4,0,0.00%,0.00%,4,0,0.00%,0.00%,75.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0F2G78V4W,B0F2G78V4W,Triple Lion - Whole White Peppercorns - 650gm,1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0F2HJY9M9,B0F2HJY9M9,Robert Scott HDY ROLL 350 SHT BLU P2,2,1,0.00%,0.00%,3,2,0.00%,0.01%,33.33%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0F38VZ9TS,B0F38VZ9TS,"DAZ Washing Powder for Whites & Colours, 6.25kg - 125 Washes, Powerful Cleaning, Fresh Fragrance - Household",11,1,0.00%,0.00%,13,2,0.00%,0.01%,66.67%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0F3JV7J2R,B0F3JV7J2R,South Downs Water Still Glass 24 x 330ml,7,1,0.00%,0.00%,7,1,0.00%,0.00%,100.00%,100.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0F3JXJ63D,B0F3JXJ63D,Maynards Bassetts Wine Gum Pouch Bag 10 x 130gm,81,0,0.01%,0.00%,111,0,0.01%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0F3JYDNM4,B0F3JYDNM4,Alpen Original Muesli 950gm,12,0,0.00%,0.00%,14,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0F3K8RJTC,B0F3K8RJTC,Wessex Mill Strong Wholemeal Bread Flour 1.5kg,4,0,0.00%,0.00%,4,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0F3PGGJL9,B0F3PGGJL9,Cacao Barry - NOIR INTENSE Cocoa Powder 1kg - (Pack of 6),6,2,0.00%,0.01%,8,4,0.00%,0.01%,100.00%,100.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0F3PSHFG1,B0F3PSHFG1,"Flying Goose Sriracha Vegan Mayo Sauce 730 ml (Pack of 2), Rich Blend, Vegan & Gluten-Free, Generous Size, Convenient Packaging",1,0,0.00%,0.00%,1,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0F3XKHRG3,B0F3XKHRG3,IDEAL 365 Whisper Silver Embossed Luxury Soft Toilet Roll 2 Ply (40 Rolls) - 4 Rolls Per Pack x 10,15,1,0.00%,0.00%,16,1,0.00%,0.00%,37.50%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0F3XV4917,B0F3XV4917,Centaur - Dulce De Leche - 1kg - (Pack of 6),1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0F445LM68,B0F445LM68,Caterers Pride - Grapefruit Segments in Light Syrup - 540gm,7,0,0.00%,0.00%,8,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0F445TJ4G,B0F445TJ4G,Caterers Pride - GRAPEFRUIT Segments In Light Syrup - 540gm - (Pack of 12),4,0,0.00%,0.00%,4,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0F44DL819,B0F44DL819,Roquito Hot Honey 720gm - (Pack of 5),6,0,0.00%,0.00%,6,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0F4DHYZC8,B0F4DHYZC8,Biscoff Original,4,1,0.00%,0.00%,4,1,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0F4DND2KV,B0F4DND2KV,"Geeta's Premium Chutney 1.5Kg - Authentic Chutney Jar Tangy, Spicy, and Flavorful Indian Condiment Spread for Sandwiches, and Snacks – Gluten-Free, Vegan",1,0,0.00%,0.00%,1,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0F4KKX4FS,B0F4KKX4FS,Osprio Pudding Rice 3kg - (Pack of 4),2,0,0.00%,0.00%,2,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0F4KLP7ZX,B0F4KLP7ZX,Caterers Pride Tuna Chunks In Brine 185gm,1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0F4KNJW37,B0F4KNJW37,Osprio Giant Cous Cous 1kg - (Pack of 10),1,0,0.00%,0.00%,1,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0F4KQ5SDW,B0F4KQ5SDW,Lion Prawn Cocktail Dressing 2.27 Litres,1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0F4PYT26Z,B0F4PYT26Z,Mae Ploy Thai Green & Red Curry Paste 400g Each Authentic Thai Curry Paste Hot And Mild Chili Asian Food,24,1,0.00%,0.00%,29,2,0.00%,0.01%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0F4XKX4NL,B0F4XL1S6N,Full Box of Assorted Chocolate Bars – 24 Full-Size Packs | Favourite Flavours & Textures (Snicker's 24 x 50g),529,14,0.07%,0.05%,656,15,0.07%,0.04%,2.57%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0F5HXG1GL,B0F5HXG1GL,OSCAR Vegetable Liquid Concentrate 1ltr,1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0F637HNPQ,B0F637HNPQ,America's Finest | Pack of 12 | Pumpkin Puree - 100% Pure Pumpkin - 425g Tin,74,3,0.01%,0.01%,90,4,0.01%,0.01%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0F63R2RQ5,B0F63R2RQ5,"Soft Drink Cans All Flavours 24x330ml (330ml, Tango Orange)",5,1,0.00%,0.00%,5,1,0.00%,0.00%,40.00%,100.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0F6762CG6,B0F6762CG6,"Hartley’s Orange Breakfast Marmalade 3.18kg x 2 – Large Bulk Pack – Ideal for Foodservice, Baking & Spreading",3,0,0.00%,0.00%,3,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0F676MVYG,B0F676MVYG,Callebaut - Orange Callets - 2.5kg,79,3,0.01%,0.01%,99,4,0.01%,0.01%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
B0F6YT19Y2,B0F6YT19Y2,Pitted Hojiblanca Green Olives 4.1kg – Pack of 3 – Premium Spanish Olives in Brine,1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0
