parent_asin,child_asin,title,sku,sessions_total,sessions_b2b,session_percentage_total,session_percentage_b2b,page_views_total,page_views_b2b,page_views_percentage_total,page_views_percentage_b2b,buy_box_percentage,buy_box_percentage_b2b,units_ordered,units_ordered_b2b,unit_session_percentage,unit_session_percentage_b2b,sales_total,sales_b2b,order_items_total,order_items_b2b,is_prime,base_sku,sku_category,conversion_rate,avg_order_value,revenue_per_session,buy_box_win_rate,high_conversion,high_revenue
B086QSFC3C,B086QSFC3C,Freshers Lime 5ltr Juice Cordial,COR20A - 001,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,11.09,0.0,1,0,False,COR20A - 001,COR,0.0,11.09,0.0,0.0,False,False
B08BP87N26,B08BP87N26,Essential Cuisine Chicken Stock Mix - 2x800g,STO19C,3,1,0.32,2.17,4,1,0.32,1.54,25.0,100.0,1,1,33.33,100.0,45.11,45.11,1,1,False,STO19C,STO,33.33333333333333,45.11,15.036666666666667,25.0,False,True
B08BPBPYTF,B08BPBPYTF,Pom Bears Original Ready Salted Crisps - 36x19g,CRI50 - 001,4,1,0.43,2.17,4,1,0.32,1.54,75.0,0.0,1,0,25.0,0.0,26.49,0.0,1,0,False,CRI50 - 001,CRI,25.0,26.49,6.6225,75.0,False,False
B08BPCWQGT,B08BPCWQGT,Fentimans Ginger Beer Drinks - 12x275ml,FENTIM005 - 002 Prime,1,1,0.11,2.17,2,2,0.16,3.08,100.0,0.0,2,0,200.0,0.0,45.98,0.0,1,0,True,FENTIM005,FENTIM,200.0,22.99,45.98,100.0,True,True
B08DRLXNKG,B08DRLXNKG,Heinz Tartare Sauce Sachets - 200x,HEI10D - 001,2,0,0.21,0.0,2,0,0.16,0.0,100.0,0.0,1,0,50.0,0.0,22.45,0.0,1,0,False,HEI10D - 001,HEI,50.0,22.45,11.225,100.0,False,False
B08PZDT5MV,B08PZDT5MV,Essential Cuisine Wild Mushroom Glace 600g,GLA08,2,0,0.21,0.0,2,0,0.16,0.0,50.0,0.0,1,0,50.0,0.0,32.98,0.0,1,0,False,GLA08,GLA,50.0,32.98,16.49,50.0,False,False
B08PZJ4RRS,B08PZJ4RRS,Essential Cuisine Lamb Glace 600g,GLA07,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,30.68,0.0,1,0,False,GLA07,GLA,0.0,30.68,0.0,0.0,False,False
B0B9FRDBF5,B08R7LDBTZ,Essential Cuisine Lobster Glace 600g,GLA01 - 005,2,1,0.21,2.17,4,2,0.32,3.08,100.0,100.0,2,2,100.0,200.0,68.2,68.2,1,1,False,GLA01 - 005,GLA,100.0,34.1,34.1,100.0,False,True
B08TMSP48Z,B08TMSP48Z,Cornichons in Vinegar,GHE01C,6,0,0.64,0.0,8,0,0.64,0.0,100.0,0.0,1,0,16.67,0.0,13.87,0.0,1,0,False,GHE01C,GHE,16.666666666666664,13.87,2.3116666666666665,100.0,False,False
B08TQPBQLV,B08TQPBQLV,Spanish White Wine Vinegar 5L,VIN10,1,1,0.11,2.17,3,3,0.24,4.62,100.0,100.0,5,5,500.0,500.0,46.3,46.3,1,1,False,VIN10,VIN,500.0,9.26,46.3,100.0,True,True
B08V5KBK95,B08V5KBK95,Folkingtons Pineapple Juice - 12x250ml,FOL07 - 001,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,24.49,0.0,1,0,False,FOL07 - 001,FOL,0.0,24.49,0.0,0.0,False,False
B08W2JPB6C,B08W2JPB6C,Wild Rice 1Kg - Centaur Brand,RIC16,1,0,0.11,0.0,2,0,0.16,0.0,100.0,0.0,1,0,100.0,0.0,19.42,0.0,1,0,False,RIC16,RIC,100.0,19.42,19.42,100.0,False,False
B08ZYYSQ24,B08ZYYSQ24,Centaur Gluten Free Japanese Style Tempura Batter Mix 1kg,BRE04D - 001,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2,0,0.0,0.0,15.7,0.0,1,0,False,BRE04D - 001,BRE,0.0,7.85,0.0,0.0,False,False
B09BG6J3JR,B09BG6J3JR,"Elsinore - Cockles in Vinegar, Ready to Eat, 200g (Pack of 6)",ELSIN003 - 001 Prime,8,2,0.85,4.35,9,2,0.72,3.08,100.0,0.0,1,0,12.5,0.0,20.68,0.0,1,0,True,ELSIN003,ELSIN,12.5,20.68,2.585,100.0,False,False
B09BJZF93S,B09BJZF93S,"SOSA Isomalt ""F"" Refined (900g)",SOS42 - 001,3,0,0.32,0.0,3,0,0.24,0.0,66.67,0.0,1,0,33.33,0.0,17.1,0.0,1,0,False,SOS42 - 001,SOS,33.33333333333333,17.1,5.7,66.67,False,False
B09RN5YKW7,B09RN5YKW7,"VALRHONA Cocoa Powder, 250 GR",VALRHO002 - 004,2,0,0.21,0.0,3,0,0.24,0.0,100.0,0.0,1,0,50.0,0.0,15.72,0.0,1,0,False,VALRHO002 - 004,VALRHO,50.0,15.72,7.86,100.0,False,False
B09RQS4SBQ,B09RQS4SBQ,"Buchanans Glace Red Cherries, 1 Kg Tub, Perfect For Baking, Decorating Cakes, Tarts, Panettones and Cookies",DRI12B - 002 Prime,6,1,0.64,2.17,6,1,0.48,1.54,83.33,0.0,1,0,16.67,0.0,12.19,0.0,1,0,True,DRI12B,DRI,16.666666666666664,12.19,2.0316666666666667,83.33,False,False
B09RV2FVXK,B09RV2FVXK,"Buchanan Natural Sultanas 3kg | Perfect for Breakfast, Baking and Snacking | Suitable for Vegans and Vegetarians",DRISUL001-002,1,0,0.11,0.0,1,0,0.08,0.0,100.0,0.0,1,0,100.0,0.0,17.29,0.0,1,0,False,DRISUL001-002,DRISUL,100.0,17.29,17.29,100.0,False,False
B09S6PCQGZ,B09S6PCQGZ,Firefly Kiwi Lime & Mint - 12x330ml,FIREF003 - 003 Prime,5,0,0.53,0.0,5,0,0.4,0.0,100.0,0.0,1,0,20.0,0.0,22.94,0.0,1,0,True,FIREF003,FIREF,20.0,22.94,4.588,100.0,False,False
