SKU,Title,Sessions,Units,Conversion_%,Revenue_£,AOV_£
JUS02 - 001,Essential Cuisine - Premier Jus - Lamb Jus (Concentrated Base) 1kg,27.0,13.0,48.15,460.33,35.41
DEC20 - 002,Mona Lisa Dark Chocolate Shavings 2.5kg,25.0,12.0,48.0,584.64,48.72
NAPKIN107 - 001 Prime,Bulky Soft - White 2ply Cocktail Napkins - 2000 x 24cm x 24cm - (32196),25.0,12.0,48.0,255.54,21.3
BEL05 - 001 Prime,"Belvoir Farm Sparkling Pink Lady Apple® Juice Bottle, Pack of 12",21.0,10.0,47.62,256.0,25.6
FRU19,Whole Baby Pears in Light Syrup - Tinned 425g,19.0,9.0,47.37,55.08,6.12
GIN01B - 002,Opies Stem Ginger in Syrup 1.35kg - (Pack of 3),19.0,9.0,47.37,336.51,37.39
FOL02 - 002,Folkington's Cloudy Pear Juice 250 ml (Pack of 12),38.0,18.0,47.37,421.02,23.39
ACC02 - 003,Manora Shrimp Chips (Uncooked),17.0,8.0,47.06,65.28,8.16
VIN31A - 004,"KTC White Vinegar 5 Litre - Perfect for Pickling, Cleaning, Baking, Marinades and Sauces & Cheese Making - 5 Litre Bottle - Produced in The UK (4 Pack)",17.0,8.0,47.06,189.64,23.7
COR21A - 004 Prime,Freshers Blackcurrant Squash Drink No Added Sugar 5 Litre,72.0,33.0,45.83,392.09,11.88
CON03B - 001,Riverdene Cranberry Sauce 2.5kg,35.0,16.0,45.71,251.68,15.73
RIC14C - 002 Prime,Vignola - PAELLA Rice - 1kg,90.0,41.0,45.56,308.73,7.53
TATEMU001 - 004,"Tate & Lyle Sugars Fairtrade Dark Muscovado Sugar, 500 g, Pack of 10",11.0,5.0,45.45,87.15,17.43
FLO17B - 001 Prime,Heygates Fine Lady Strong White Bread Flour 1.5kg,22.0,10.0,45.45,60.6,6.06
SAL02B - 002 Prime,Chef William Table Salt 6kg - (Pack of 2),11.0,5.0,45.45,106.76,21.35
ELSIN001 - 005 Prime,Elsinore Lumpfish Caviar 100gm (Pack of 6),73.0,33.0,45.21,1154.67,34.99
VIIN23-001,Centaur Champagne Vinegar 750ml,98.0,44.0,44.9,413.16,9.39
VIN43A - 001 Prime,Centaur - French Verjus De Perigord - 500ml (1 Bottle),92.0,41.0,44.57,612.95,14.95
PRE03A - 002 Prime,"Menz & Gasser - Jam Portions (Plastic) (100 x 20gm, Marmalade)",18.0,8.0,44.44,118.16,14.77
NAPKIN102 - 001 Prime,Bulky Soft White 2ply Napkins 2000 x 40cm x 40cm / 4 fold (32990),34.0,15.0,44.12,666.13,44.41
CON02B - 001 Prime,Riverdene - Redcurrant Jelly - 2.72kg,25.0,11.0,44.0,176.44,16.04
PEP06A - 002,Opies Pink Peppercorns with Malt Vinegar - 6x105g,16.0,7.0,43.75,116.13,16.59
