(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions – Total,Sessions – Total – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B
B09RV19H2N,B09RV19H2N,Buchanans Mixed Dried Fruit Selection with Peel (3kg) | Perfect for Baking Fruit Cakes and Loaves | Suitable for Vegan & Vegetarian,DRIMIX001-002,7,0,0.02%,0.00%,7,0,0.01%,0.00%,85.71%,0.00%,3,0,42.86%,0.00%,£56.19,£0.00,3,0
B0B18M2GS4,B0B18M2GS4,"Parkers Wignals Yallo Cold Pressed British Rapeseed Oil 5ltr, Golden Yellow",OIL12 - 001 Prime,5,0,0.01%,0.00%,9,0,0.02%,0.00%,100.00%,0.00%,3,0,60.00%,0.00%,£82.53,£0.00,3,0
B0FK356H3K,B0B1BBKTLT,"Barebells Soft Protein Bar, Low Sugar Protein Bar (Rocky Road Marshmallow, 12 x 55g)",BARE007 - 005 Prime,25,1,0.06%,0.12%,26,1,0.05%,0.10%,60.00%,0.00%,3,0,12.00%,0.00%,£86.37,£0.00,3,0
B0DPJF7N4F,B0B6199GGR,"JACOB'S Mini Cheddars Smoky BBQ Grab Bag, 45 g (Pack of 30)",BAR30 - 001 Prime,20,0,0.05%,0.00%,23,0,0.05%,0.00%,81.82%,0.00%,3,0,15.00%,0.00%,£59.97,£0.00,3,0
B0CCPJL4SC,B0CCPKSMC8,Busch Meringue Drops 100gm x 6,SWE03E - 002,18,0,0.05%,0.00%,21,0,0.04%,0.00%,95.24%,0.00%,3,0,16.67%,0.00%,£43.53,£0.00,3,0
B0CCPPX8N1,B0CCPQ9FK2,Whirl Butter Substitute 4ltr,BUT25 - 001 Prime,33,2,0.08%,0.24%,46,2,0.09%,0.19%,94.87%,100.00%,3,1,9.09%,50.00%,£70.14,£23.38,3,1
B0CD7WJGVM,B0CD7W81FQ,"Crusha Milk Shake Syrup 1ltr (Strawberry, 1)",CRUSHA003 - 003,28,0,0.07%,0.00%,36,0,0.07%,0.00%,100.00%,0.00%,3,0,10.71%,0.00%,£29.79,£0.00,3,0
B0CD7WJGVM,B0CD7W81FQ,"Crusha Milk Shake Syrup 1ltr (Strawberry, 1)",CRUSHA003 - 003 Prime,28,0,0.07%,0.00%,36,0,0.07%,0.00%,100.00%,0.00%,3,0,10.71%,0.00%,£31.80,£0.00,3,0
B0CN3NRK7H,B0CN3KYG4D,"Fresher's Juice Drinks 5ltr (No Added Sugar Orange, 1)",COR34A - 004,40,2,0.10%,0.24%,50,2,0.10%,0.19%,95.65%,0.00%,5,0,12.50%,0.00%,£54.15,£0.00,3,0
B0CVNK842C,B0CVNK842C,"Callebaut Bundle 2 x W2,823,811 (6 x 400g)",Bundle - 035 Prime,11,0,0.03%,0.00%,21,0,0.04%,0.00%,80.95%,0.00%,3,0,27.27%,0.00%,£125.16,£0.00,3,0
B0D92MGB4D,B0D92MGB4D,"Jersey Dairy Luxury Soft Ice Cream & Thickshake Mix – 2 × 1 L Cartons, Creamy Premium Ice Cream Base",UHT31B - 002 Prime,18,0,0.05%,0.00%,23,0,0.05%,0.00%,100.00%,0.00%,3,0,16.67%,0.00%,£42.60,£0.00,3,0
B0DCK7QJYP,B0DCK7QJYP,Parkers Dried Sweetened Diced Pineapple 1kg,DRIPINE001 - 001 Prime,16,0,0.04%,0.00%,20,0,0.04%,0.00%,94.44%,0.00%,3,0,18.75%,0.00%,£38.97,£0.00,3,0
B0DG3594P5,B0DG3594P5,Brown Bag - LIGHTLY SALTED Crisps - 2 X 20 x 40gm - (2 BOXES),CRI30 - 002 Prime,8,0,0.02%,0.00%,15,0,0.03%,0.00%,100.00%,0.00%,3,0,37.50%,0.00%,£98.88,£0.00,3,0
B0DNR97JSD,B0DNR97JSD,Askeys - Double Fan Wafers - 1 x 200,WAF05A - 001 Prime,45,1,0.11%,0.12%,55,1,0.11%,0.10%,96.30%,100.00%,3,0,6.67%,0.00%,£117.60,£0.00,3,0
B0DQ1BG9JQ,B0DQ1BG9JQ,"Luxury Alexander Brass Mill Salt and Pepper Grinders, 20.32 cm, Set of 2",Alexander Bundle - 001 Prime,275,2,0.69%,0.24%,335,2,0.67%,0.19%,98.39%,100.00%,3,0,1.09%,0.00%,£371.04,£0.00,3,0
B0DVCBHP39,B0DVCBHP39,Callebaut Ruby RB2 & Gold Callets Bundle – 2 x 400g | Fruity & Caramel Couverture Chocolate | 32.8% & 30.4%,Bundle - 215 Prime,33,0,0.08%,0.00%,36,0,0.07%,0.00%,62.86%,0.00%,3,0,9.09%,0.00%,£62.97,£0.00,3,0
